Config_ID,units_1,units_2,units_3,dropout,lr,batch_size,Gap_Size,MAE,RMSE,MAPE (%)
0,128,64,16,0.3,0.0005,64,150,2.09363734,2.508462834,10.76127073
0,128,64,16,0.3,0.0005,64,300,2.083174213,2.487489408,10.1725356
0,128,64,16,0.3,0.0005,64,450,2.048044006,2.439945575,9.747690185
0,128,64,16,0.3,0.0005,64,600,1.994717491,2.363774247,9.443651289
1,128,64,32,0.2,0.001,64,150,2.950102779,3.493017166,15.21438529
1,128,64,32,0.2,0.001,64,300,2.7191302,3.173632115,13.58873821
1,128,64,32,0.2,0.001,64,450,2.507112367,2.947503185,12.3287991
1,128,64,32,0.2,0.001,64,600,2.404790843,2.826783715,11.77285611
2,64,64,16,0.3,0.0005,64,150,2.043446338,2.433481761,10.47875646
2,64,64,16,0.3,0.0005,64,300,2.044752058,2.44867544,9.945447339
2,64,64,16,0.3,0.0005,64,450,2.006424566,2.402848032,9.514490179
2,64,64,16,0.3,0.0005,64,600,1.952672596,2.332679347,9.212904244
3,128,32,32,0.2,0.001,64,150,1.426748235,1.681424628,7.303695402
3,128,32,32,0.2,0.001,64,300,1.818160701,2.273833844,9.079467609
3,128,32,32,0.2,0.001,64,450,2.208193998,2.664515383,10.77960528
3,128,32,32,0.2,0.001,64,600,2.37747437,2.788714588,11.5177749
4,64,32,16,0.3,0.0005,64,150,1.229489162,1.41644058,6.245624503
4,64,32,16,0.3,0.0005,64,300,1.510999003,1.815727225,7.253713021
4,64,32,16,0.3,0.0005,64,450,1.774625043,2.074751931,8.407114133
4,64,32,16,0.3,0.0005,64,600,2.112753195,2.491783172,9.991552481
5,64,32,32,0.3,0.0005,64,150,1.319672096,1.576797793,6.689766949
5,64,32,32,0.3,0.0005,64,300,1.581899631,1.91205245,7.783184589
5,64,32,32,0.3,0.0005,64,450,1.56772856,1.872994767,7.620631367
5,64,32,32,0.3,0.0005,64,600,1.547082508,1.856161642,7.487225018
6,128,64,16,0.2,0.001,64,150,2.19878712,2.662225818,11.34916427
6,128,64,16,0.2,0.001,64,300,2.176185177,2.59708714,10.69595447
6,128,64,16,0.2,0.001,64,450,2.127187284,2.516168914,10.20804014
6,128,64,16,0.2,0.001,64,600,2.072579293,2.437279797,9.896131735
7,64,32,16,0.2,0.0005,64,150,2.00228079,2.394208935,10.2662895
7,64,32,16,0.2,0.0005,64,300,2.015114801,2.430994416,9.785107624
7,64,32,16,0.2,0.0005,64,450,1.983505865,2.391734126,9.3863692
7,64,32,16,0.2,0.0005,64,600,1.932758553,2.320729006,9.098472089
8,128,64,32,0.3,0.0005,64,150,1.411274592,1.839268818,7.094380137
8,128,64,32,0.3,0.0005,64,300,1.569698458,2.232810541,7.847728243
8,128,64,32,0.3,0.0005,64,450,1.81435768,2.519253639,8.901925431
8,128,64,32,0.3,0.0005,64,600,1.935936083,2.680870252,9.487069374
9,64,64,16,0.2,0.0005,64,150,1.429209087,1.618174389,7.244681668
9,64,64,16,0.2,0.0005,64,300,1.88305509,2.243831213,8.88030017
9,64,64,16,0.2,0.0005,64,450,2.119631157,2.472653521,9.831830651
9,64,64,16,0.2,0.0005,64,600,2.240097051,2.58105277,10.45179749
10,64,64,32,0.2,0.0005,64,150,1.314613109,1.552027049,6.680751723
10,64,64,32,0.2,0.0005,64,300,1.533253462,1.86836936,7.585675057
10,64,64,32,0.2,0.0005,64,450,1.700881413,2.024579493,8.294784565
10,64,64,32,0.2,0.0005,64,600,1.780689856,2.118283909,8.662923754
11,128,64,32,0.3,0.001,64,150,2.841165454,3.407155249,14.67564835
11,128,64,32,0.3,0.001,64,300,2.685597391,3.150863743,13.41659835
11,128,64,32,0.3,0.001,64,450,2.458196454,2.896440334,12.05562025
11,128,64,32,0.3,0.001,64,600,2.345578281,2.760412488,11.44040218
12,64,64,32,0.3,0.001,64,150,2.590834461,3.038267884,13.26400115
12,64,64,32,0.3,0.001,64,300,2.43987805,2.825518441,12.0669342
12,64,64,32,0.3,0.001,64,450,2.249878901,2.628594184,10.85150998
12,64,64,32,0.3,0.001,64,600,2.152629494,2.513706448,10.30405323
13,128,32,16,0.2,0.0005,64,150,2.098305421,2.515227514,10.78062945
13,128,32,16,0.2,0.0005,64,300,2.093905058,2.50848685,10.21579266
13,128,32,16,0.2,0.0005,64,450,2.056785726,2.453778929,9.784783794
13,128,32,16,0.2,0.0005,64,600,1.997331385,2.376637074,9.454564537
14,128,64,32,0.2,0.0005,64,150,1.101425442,1.445168536,5.644674583
14,128,64,32,0.2,0.0005,64,300,1.373855861,1.735871449,6.738923825
14,128,64,32,0.2,0.0005,64,450,1.6591483,2.024692339,7.9806872
14,128,64,32,0.2,0.0005,64,600,1.990737132,2.406534086,9.515390368
