Config_ID,units_1,units_2,units_3,dropout,lr,batch_size,Gap_Size,MAE,RMSE,MAPE (%)
0,128,64,16,0.3,0.0005,64,150,1.0211943625609095,1.5635939888750563,4.797045908755346
0,128,64,16,0.3,0.0005,64,300,1.1144270732005446,1.6609567914346604,5.001861154575912
0,128,64,16,0.3,0.0005,64,450,1.207854728725222,1.7313115677259472,5.281458775267487
0,128,64,16,0.3,0.0005,64,600,1.4676850876808176,2.2170639754238852,6.599424930500803
1,128,64,32,0.2,0.001,64,150,1.587966742118201,2.1461680006384154,7.432101490236227
1,128,64,32,0.2,0.001,64,300,1.7843333760102598,2.3175554750121856,8.00283487176877
1,128,64,32,0.2,0.001,64,450,2.139923708862729,2.66843225611028,9.280903808518174
1,128,64,32,0.2,0.001,64,600,2.759621530334155,3.427964719898225,11.91751358421906
2,64,64,16,0.3,0.0005,64,150,1.0866176455815646,1.4840779476926327,5.019505801066431
2,64,64,16,0.3,0.0005,64,300,0.9976128529707609,1.3630218858174197,4.4471133273481245
2,64,64,16,0.3,0.0005,64,450,0.9817596264945151,1.3162656524986753,4.262101186944909
2,64,64,16,0.3,0.0005,64,600,1.1446300671299316,1.5689037728370465,5.066448718773694
3,128,32,32,0.2,0.001,64,150,2.5645953661600753,3.2336740800686283,11.996372666982772
3,128,32,32,0.2,0.001,64,300,2.8646972639163337,3.3483406877494435,12.621481306256987
3,128,32,32,0.2,0.001,64,450,2.683939300749037,3.165042020696901,11.452034547865749
3,128,32,32,0.2,0.001,64,600,2.8225179237127307,3.272022091030506,12.130167551579877
4,64,32,16,0.3,0.0005,64,150,1.148346421559652,1.5908237501171034,5.253655990614812
4,64,32,16,0.3,0.0005,64,300,1.2242736954689022,1.6187138967667458,5.284134916460202
4,64,32,16,0.3,0.0005,64,450,1.1083954577181068,1.4756977899838757,4.71897729457217
4,64,32,16,0.3,0.0005,64,600,1.1689647996226946,1.584558783673485,5.137398842207503
5,64,32,32,0.3,0.0005,64,150,1.1982217571735407,1.8308356932575396,5.594208590471972
5,64,32,32,0.3,0.0005,64,300,1.3200996359189379,1.9314123299390575,5.946843326916251
5,64,32,32,0.3,0.0005,64,450,1.3310945761468693,1.922651101640295,5.849724153102018
5,64,32,32,0.3,0.0005,64,600,1.5526430341800077,2.242129027043963,6.973753613497936
6,128,64,16,0.2,0.001,64,150,1.8524369331200947,2.0602845319210146,8.281609651968456
6,128,64,16,0.2,0.001,64,300,1.5197330760161099,1.7841231986107484,6.64278144469395
6,128,64,16,0.2,0.001,64,450,1.5094915102587816,1.8138444102593747,6.421652436105006
6,128,64,16,0.2,0.001,64,600,1.8734509963393218,2.4109253234035934,8.136908891168389
7,64,32,16,0.2,0.0005,64,150,1.1419807827472714,1.4906446146369408,5.271660885935625
7,64,32,16,0.2,0.0005,64,300,1.0783994429508867,1.416106032934733,4.855088673332556
7,64,32,16,0.2,0.0005,64,450,1.0499619669119538,1.372172290846338,4.621914551497799
7,64,32,16,0.2,0.0005,64,600,1.2768213397860548,1.776574477556962,5.797010804340226
8,128,64,32,0.3,0.0005,64,150,0.8429452222188313,1.1611529519754977,3.838167422118456
8,128,64,32,0.3,0.0005,64,300,0.903401022235552,1.2117389830335654,3.846955608778176
8,128,64,32,0.3,0.0005,64,450,0.8970255958239232,1.1694109919921538,3.737487917819281
8,128,64,32,0.3,0.0005,64,600,0.997310788810253,1.2983275223966948,4.271713526528945
9,64,64,16,0.2,0.0005,64,150,1.7407326879501375,1.9168667542640014,7.8895544870090495
9,64,64,16,0.2,0.0005,64,300,1.3987434643904386,1.6196430627278546,6.151526636582606
9,64,64,16,0.2,0.0005,64,450,1.2666481932004303,1.549183954379831,5.350375233073004
9,64,64,16,0.2,0.0005,64,600,1.4378561572233843,1.7015591217905066,6.107908809007654
10,64,64,32,0.2,0.0005,64,150,1.347152597824735,1.9327449533290542,6.209424636794747
10,64,64,32,0.2,0.0005,64,300,1.5165814655621874,2.0216543541579024,6.753609653257979
10,64,64,32,0.2,0.0005,64,450,1.4866744698683447,1.9490666860722639,6.463916939717077
10,64,64,32,0.2,0.0005,64,600,1.6712153824170461,2.1749433261582816,7.412313305682999
11,128,64,32,0.3,0.001,64,150,2.0495376381874113,2.610247185363463,9.750492746068845
11,128,64,32,0.3,0.001,64,300,2.276416318535807,2.682612827577012,10.159377831613375
11,128,64,32,0.3,0.001,64,450,2.278807807127636,2.656815910631495,9.836918224524785
11,128,64,32,0.3,0.001,64,600,2.508231663823129,2.922364959671515,10.954800042746161
12,64,64,32,0.3,0.001,64,150,1.1028107671737675,1.5382262278376269,5.086506981990116
12,64,64,32,0.3,0.001,64,300,1.5052517775297165,1.963567947469344,6.455153533409236
12,64,64,32,0.3,0.001,64,450,1.74072014398045,2.1825371979850496,7.2771122776460615
12,64,64,32,0.3,0.001,64,600,2.1823143561482428,2.741451646596217,9.283360829876077
13,128,32,16,0.2,0.0005,64,150,1.124249580144884,1.5698197247129757,5.2057215515756035
13,128,32,16,0.2,0.0005,64,300,1.0071687418619801,1.4186205746481282,4.515434130633081
13,128,32,16,0.2,0.0005,64,450,0.950625338210001,1.3104688216460183,4.1700907349047664
13,128,32,16,0.2,0.0005,64,600,1.0733165411949168,1.5305085033365446,4.8442506983174995
14,128,64,32,0.2,0.0005,64,150,1.1035347739855474,1.416751335181385,4.968932135078901
14,128,64,32,0.2,0.0005,64,300,0.9578244063854237,1.2625506482562079,4.2213293847930125
14,128,64,32,0.2,0.0005,64,450,0.8866563840707158,1.151734282381963,3.835288703253815
14,128,64,32,0.2,0.0005,64,600,0.9820768338441865,1.295395607352432,4.360358528555638
